id,band_name,fans,formed,origin,split,style
240,Lacrimosa,312,1990,Germany,-,"Gothic,Symphonic"
241,Coroner,311,1985,Switzerland,1985,Technical thrash
242,Masterplan,311,2001,Germany,-,Progressive power
243,Tarja,310,2004,Finland,2004,Symphonic
244,Ahab,309,2004,Germany,-,Funeral doom
245,Melechesh,307,1993,"Israel, The Netherlands",1993,"Melodic black,Folk"
246,Rage,306,1986,Germany,-,Heavy
247,Cult Of Luna,305,1998,Sweden,1998,"Post-metal,Sludge"
248,Suidakra,305,1994,Germany,-,"Melodic death,Folk"
249,Yngwie Malmsteen,304,1978,Sweden,1978,Neoclassical power
